2026-06-04 05:46:33 status config-files linux-headers-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:33 status not-installed linux-headers-7.0.0-22-generic:amd64 <none>
2026-06-04 05:46:33 status installed linux-headers-7.0.0-22:all 7.0.0-22.22
2026-06-04 05:46:33 remove linux-headers-7.0.0-22:all 7.0.0-22.22 <none>
2026-06-04 05:46:33 status half-configured linux-headers-7.0.0-22:all 7.0.0-22.22
2026-06-04 05:46:33 status half-installed linux-headers-7.0.0-22:all 7.0.0-22.22
2026-06-04 05:46:34 status config-files linux-headers-7.0.0-22:all 7.0.0-22.22
2026-06-04 05:46:34 status not-installed linux-headers-7.0.0-22:all <none>
2026-06-04 05:46:34 status installed linux-main-modules-zfs-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:34 status installed linux-image-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:34 status installed linux-modules-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:34 status installed linux-image-virtual:amd64 7.0.0-22.22
2026-06-04 05:46:34 remove linux-image-virtual:amd64 7.0.0-22.22 <none>
2026-06-04 05:46:34 status half-configured linux-image-virtual:amd64 7.0.0-22.22
2026-06-04 05:46:34 status half-installed linux-image-virtual:amd64 7.0.0-22.22
2026-06-04 05:46:34 status config-files linux-image-virtual:amd64 7.0.0-22.22
2026-06-04 05:46:34 status not-installed linux-image-virtual:amd64 <none>
2026-06-04 05:46:34 status installed linux-libc-dev:amd64 7.0.0-22.22
2026-06-04 05:46:34 remove linux-libc-dev:amd64 7.0.0-22.22 <none>
2026-06-04 05:46:34 status half-configured linux-libc-dev:amd64 7.0.0-22.22
2026-06-04 05:46:34 status half-installed linux-libc-dev:amd64 7.0.0-22.22
2026-06-04 05:46:34 status config-files linux-libc-dev:amd64 7.0.0-22.22
2026-06-04 05:46:34 status not-installed linux-libc-dev:amd64 <none>
2026-06-04 05:46:34 status installed linux-perf:amd64 7.0.0-22.22
2026-06-04 05:46:34 remove linux-perf:amd64 7.0.0-22.22 <none>
2026-06-04 05:46:34 status half-configured linux-perf:amd64 7.0.0-22.22
2026-06-04 05:46:34 status half-installed linux-perf:amd64 7.0.0-22.22
2026-06-04 05:46:34 status triggers-pending man-db:amd64 2.13.1-1build1
2026-06-04 05:46:34 status config-files linux-perf:amd64 7.0.0-22.22
2026-06-04 05:46:34 status not-installed linux-perf:amd64 <none>
2026-06-04 05:46:34 status installed linux-sysctl-defaults:all 4.15ubuntu5
2026-06-04 05:46:34 remove linux-sysctl-defaults:all 4.15ubuntu5 <none>
2026-06-04 05:46:34 status half-configured linux-sysctl-defaults:all 4.15ubuntu5
2026-06-04 05:46:34 status half-installed linux-sysctl-defaults:all 4.15ubuntu5
2026-06-04 05:46:34 status triggers-pending systemd:amd64 259.5-0ubuntu3
2026-06-04 05:46:34 status triggers-pending procps:amd64 2:4.0.4-9ubuntu1
2026-06-04 05:46:34 status config-files linux-sysctl-defaults:all 4.15ubuntu5
2026-06-04 05:46:34 status not-installed linux-sysctl-defaults:all <none>
2026-06-04 05:46:34 status installed linux-tools-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:34 remove linux-tools-7.0.0-22-generic:amd64 7.0.0-22.22 <none>
2026-06-04 05:46:34 status half-configured linux-tools-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:34 status half-installed linux-tools-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:34 status config-files linux-tools-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:34 status not-installed linux-tools-7.0.0-22-generic:amd64 <none>
2026-06-04 05:46:34 status installed linux-tools-7.0.0-22:amd64 7.0.0-22.22
